id,event_id,minute,second,team_id,x,y,expanded_minute,satisfiedEventsTypes,is_touch,player_id,end_x,end_y,blocked_x,blocked_y,goal_mouth_z,goal_mouth_y,is_shot,relatedEventId,relatedPlayerId,card_type,is_goal,period_display_name,type_display_name,outcome_type_display_name,Zone,Angle,Length,PassEndY,PassEndX,Longball,ThrowIn,HeadPass,Chipped,Offensive,OppositeRelatedEvent,Defensive,LeadingToAttempt,OutOfBoxCentre,RegularPlay,BlockedY,BlockedX,Blocked,RightFoot,GoalMouthY,LowLeft,IndividualPlay,GoalMouthZ,OutfielderBlock,LayOff,Foul,FreekickTaken,StandingSave,ShotAssist,KeyPass,Assisted,BoxRight,RelatedEventId,MissLeft,LeftFoot,GoalKick,Cross,Head,OverRun,DivingSave,Hands,ParriedSafe,KeeperSaveObox,MissRight,CornerTaken,IntentionalAssist,BoxCentre,FirstTouch,SetPiece,BigChanceCreated,BigChance,LastMan,Yellow,DirectFreekick,MissHigh,BoxLeft,KeeperSaveInTheBox,AerialFoul,Volley,FastBreak,LowRight,KeeperThrow,HighClaim,HighRight,FromCorner,SmallBoxRight,LowCentre,PlayerPosition,JerseyNumber,FormationSlot,Throughball,KeeperMissed,Penalty,PenaltyShootoutConcededGK,KeeperSaved
2889529257.0,381,39,18,495,94.8,90.9,39,[93],False,404776.0,,,,,,,,,,,,FirstHalf,BallRecovery,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529319.0,382,39,20,495,94.2,94.0,39,"[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,404776.0,80.7,91.8,,,,,,,,,,FirstHalf,Pass,Successful,Left,3.25,14.3,91.8,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529335.0,383,39,25,495,89.3,93.6,39,"[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,427283.0,82.5,93.0,,,,,,,,,,FirstHalf,Pass,Successful,Left,3.2,7.2,93.0,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529371.0,384,39,28,495,79.2,96.1,39,"[91, 119, 117, 30, 35, 38, 216, 218]",True,404776.0,65.4,88.9,,,,,,,,,,FirstHalf,Pass,Successful,Left,3.47,15.3,88.9,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529391.0,385,39,32,495,62.5,84.7,39,"[91, 119, 117, 30, 35, 38, 216, 218]",True,349932.0,57.5,63.9,,,,,,,,,,FirstHalf,Pass,Successful,Center,4.36,15.1,63.9,57.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529427.0,386,39,33,495,56.5,65.2,39,"[91, 117, 30, 35, 37, 216, 218]",True,486734.0,39.4,69.0,,,,,,,,,,FirstHalf,Pass,Successful,Back,3.0,18.1,69.0,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529469.0,387,39,37,495,39.4,69.0,39,"[91, 117, 30, 36, 38, 216, 218]",True,137512.0,47.3,63.6,,,,,,,,,,FirstHalf,Pass,Successful,Back,5.87,9.1,63.6,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529475.0,388,39,41,495,39.6,58.8,39,"[91, 63]",True,486734.0,,,,,,,,,,,,FirstHalf,Foul,Successful,Back,,,,,,,,,1.0,306.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529477.0,306,39,41,977,60.4,41.2,39,[64],False,299451.0,,,,,,,,,,,,FirstHalf,Foul,Unsuccessful,Center,,,,,,,,,,388.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2889529609.0,389,39,58,495,44.3,63.9,39,"[91, 117, 30, 132, 35, 38, 216, 218]",True,137512.0,42.3,31.5,,,,,,,,,,FirstHalf,Pass,Successful,Back,4.62,22.1,31.5,42.3,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
